,date,review_text,rating_score,is_edited,username,title_text,country
0,2022-03-22 15:47:30,"I could really use a few things:
- Better Apple Pencil support in figjam (real palm rejection; allowing me to write inside of a blob (shape) with my Apple Pencil and convert it to text.)
- Let me move the toolbox out of the way on the screen.
For the preceding improvements I would be willing to pay 2 stars.",5,False,McNruiser,Making progress,us
1,2022-09-19 15:11:09,"Converted to figma from sketch. Program is a nice upgrade. But one huge design flaw that I can’t get over. When I run my prototype to present, figma loads my assets one by one, it causes an issue because assets should be completely loaded before starting a presentation. Common sense. 

When you first run the presentation let the loader ACTUALLY load the assets then start the presentation. It is embarrassing. What is the point of showing you are loading a prototype if your assets are not actually being loaded.I don’t  want to have to tell my client oh wait for your assets to load. That’s unprofessional. Doesn’t matter if the asset is large or not. Load my assets first before presenting.

This is huge because if I am presenting to a team, they should not see anything in the presentation other than the intended first frame not have the prototype assets load one by one like a website they can click on things before ready. Doesn’t matter if I have large assets or not. When you load a presentation. Load it. Show a spinner. But don’t show the actual assets loading. Automated actions fail to show and overall is not good practice. 

If this is fixed this program will allow me to stop my subscription to my other programs. It’s too embarrassing to load my prototypes to my clients right now. I hope this is fixed so I can centralize my programs I use to figma.",2,False,ADiddle2646,Major design flaw,us
2,2022-07-31 14:58:45,"I love Figma on desktop but the mobile app on phone and iPad fall short in a big way.  I use it almost exclusively for the mirror function and I would have given it 3 stars if it weren’t so buggy.  

Bugs I have found while using mirror include:
- Loses connection periodically 
- Freezes often and needs to be restarted 
- The prototype doesn’t always appear exactly as on screen.  For example, I had an icon with a transparent container around it and layers that had shadows.  It looked fine on the computer screen but on the phone, the container background appeared white and the shadows were applied to the container instead of the objects inside it. 
- It would be nice to have an option to turn on/off status bar and home bar if they are already on your designs.  
- Animations are not very smooth. 

Aside from the mirror feature, I wanted to view and respond to a comment while I was on the go, but I can’t see the comments.  

It seems all that I can do view my frames. I would really love editing capabilities, especially for iPad.  If I could design in Figma on iPad it would save my hand so much from all the mouse clicks.  In the meantime, I’m just trying to learn all the shortcuts keys!",2,False,Liquidfire37,Buggy and lacks essential features,us
3,2022-10-26 15:48:21,"I’m not entirely sure who the audience is for this. I use it as a way to keep track of designs and comments on Figma, but there are enough rough edges that I hesitate to open it.

1. Comment functionality was added (yes!), but you can’t find new comments within the file. You have to close the file, go to the alerts section and tap the comment there to then re-open the file to the new comment. Opening the file can take a minute, so this is really inefficient.

2. Within a. Few minutes of opening the file and zooming / scrolling around, the system seems to forget how to scroll and every swipe, two finger or one, activates the zoom. You have to force-quit the app to get it working again, and within a few minutes it’s back to zooming on every touch.

I think the team need to focus on why this app exists. I would love if it was for my use case—non-designer that needs to review mocks and make comments—but even if that wasn’t the goal, it needs some clear workflow definition.",3,False,Park's Pop,A bit flaky,us
4,2023-01-15 07:06:46,"This is just a comment on Figma as a company. But their model is shady, and it’s clear why they’ve made so much money. They trick designers to not know that any invited editor gets billed to their account. $15 each. Even if the other has a pro account. This means if you have a pro account, and the invited person also has a pro account. You still get charged $15 the minute they can edit your file. This is not collaborative and makes me question the real “game changing” collaboration model they claim to offer. They’ve limited the free experience, which is fine. But to be shady to paying Figma users is messed up. Be more transparent, and fix your business model. You have enough money to do so after the $20 Billion dollar purchase from Adobe.",1,False,gonobeanoe,Figma Dark Patterns,us
5,2022-06-28 19:24:49,"Figma is good at many things, but vector editing is definitely not their strong suit. Neither is photo editing. It is optimized for quick & relatively low skill mocking, but not for creating actual elements of the design, like high quality iconography. So I still very much need Photoshop and Illustrator. Animation abilities are also very limited. So there’s no way to make a realistic prototype with just Figma. Please provide at least an ability to copy paste vector INTO Illustrator, not just from.",3,False,remedijos,Please improve vector editing & ability to copy paste into Illustrator,us
6,2022-12-21 04:50:18,"I’m so shocked by how buggy this app is that I have to write a review. Mobile designers rely on the mirror function heavily, but it is barely usable, the toast at the bottom never dismisses, it loads slowly and often disconnects, or loads the wrong page and you have to deselect and reselect the frame on computer to trigger the refresh, it ignores your frame selection if u have a flow on this page and will just keep playing that flow… I have no idea who made and approved this, and I’m just simply afraid to touch the open file feature. Also no real iPad apps in 2022. Hello??",1,False,SlayHisWigOff,Do ppl at figma even use this?,us
7,2022-11-09 10:22:08,"Apple Pencil is barely supported.  Drawing is excruciatingly slow.  But the best part is that when using the text tool, whether for existing text or new, at least 4/5 times it doesn’t activate the keyboard. 

So unless you’re not in a hurry, and have an external keyboard connected, you will not have any fun creating or editing jams on the go.

Two stars for the basic utility of (very, very slowly) accessing your team documents, and at least you can cross things out and leave comments.",2,False,Eurofrosty,FigJam unusable on iPad,us
8,2022-03-09 21:54:14,"I love using Figma, but the persistent bugs that exist on the app are frustrating. The app is super useful; I love it. It’s simply a frustrating experience a large portion of the time. It’s unfortunate to see a lack of development and care put towards it. I switched over from Adobe XD, and they had a better app experience— as the reviews show. Hoping for improvement here.",4,False,nolanperry,"Figma is wonderful, but their app isn’t",us
9,2022-02-20 20:13:18,"Hi, 
I could not log in into my account after I installed the latest update. I tried changing my password, reinstalled the app. everything works on my desktop. 
The app doesn’t provide a system respond on what’s wrong, just shows the log in page. Doesn’t say if password or email are wrong. (Which they are not). When I press on Log in button, the focus state goes on passes field (which already has my password). Please help.",2,False,Masha_Kh,Cannot log in after updating the app,us
